Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
31991,3194,375,100,29,9999,0,13,0,4371,56,3,3,1382,490,1555,0,0,72,72,31,0,0,0,0,0,1391,1584,6215,1253,129,41,55,56,60,63,41,14,21,0,56,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,96
32993,3194,375,100,29,9999,0,40,0,4371,174,3,3,1382,490,1555,0,0,72,72,31,0,0,0,0,0,1391,1584,6318,1271,128,36,66,57,52,58,10,23,36,13,57,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,96
33992,3194,375,100,29,9999,0,29,0,4371,126,3,3,1382,490,1555,0,0,72,72,31,0,0,0,0,0,1391,1584,5861,1247,128,26,50,79,37,52,10,16,26,10,55,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,96
34995,3194,375,100,29,9999,0,59,0,4371,257,3,3,1382,490,1555,0,0,72,72,32,0,0,0,0,0,1391,1584,5907,1217,108,34,62,63,56,60,21,31,34,21,51,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,96
35992,3194,375,100,29,9999,0,59,0,4367,257,3,3,1382,490,1555,0,0,72,72,31,0,0,0,0,0,1391,1584,7425,1259,124,41,63,66,57,47,27,25,41,14,70,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,96
36992,3194,375,100,29,9999,0,57,0,4367,248,3,3,1382,490,1555,0,0,73,72,33,0,0,0,0,0,1391,1584,9830,1248,120,36,66,61,54,57,6,25,36,10,83,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,96
37992,3194,375,100,29,9999,0,12,0,4367,52,3,3,1382,490,1555,0,0,72,72,36,0,0,0,0,0,1391,1584,5022,960,120,30,54,60,62,52,14,27,30,21,46,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,96
38992,3194,375,100,29,9999,0,26,0,4367,113,3,3,1382,441,1555,0,0,72,72,33,0,0,0,0,0,1391,1584,5325,1225,118,34,50,57,52,54,19,25,34,21,50,0,0,11109,465,0,312,47,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,96
40008,3188,377,100,29,9999,0,16,0,4367,69,3,2,1382,490,1555,0,0,72,72,32,0,0,0,0,0,1391,1584,5851,975,0,31,54,44,55,44,10,31,31,18,50,0,0,11109,466,0,313,47,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
40993,3188,377,100,29,9999,0,61,0,4367,266,3,3,1382,490,1353,0,0,72,72,30,0,0,0,0,0,1391,1584,5711,1237,125,30,50,66,55,52,10,23,30,21,53,0,0,11109,466,0,313,47,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,96
41992,3188,377,100,29,9999,0,84,0,4367,366,3,3,1382,490,1353,0,0,72,72,31,0,0,0,0,0,1391,1584,9416,1265,128,37,61,47,58,47,30,21,37,14,79,0,0,11109,466,0,313,47,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,96
42992,3188,377,100,29,9999,0,34,0,4367,148,3,3,1382,490,1555,0,0,73,72,34,0,0,0,0,0,1391,1584,9211,1260,128,30,59,60,52,60,14,30,28,21,76,0,0,11109,466,0,313,47,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,96
43993,3188,377,100,29,9999,0,83,0,4361,361,3,3,1382,490,1555,0,0,72,72,35,0,0,0,0,0,1391,1584,9039,1263,127,33,56,66,52,61,19,33,33,14,77,0,0,11109,466,0,313,47,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,96
44994,3188,377,100,29,9999,0,20,0,4368,87,3,3,1382,490,1804,0,0,72,72,35,0,0,0,0,0,1391,1584,4740,1238,128,30,71,77,80,80,14,30,28,0,47,0,0,11109,466,0,313,47,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,96
45992,3188,377,100,29,9999,0,19,0,4368,82,4,4,2419,525,2000,0,0,72,72,32,0,0,0,0,0,1391,1584,4222,1649,129,37,52,50,66,57,0,37,28,25,53,0,0,11109,466,0,313,47,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,96
46992,3188,377,100,29,9999,0,133,0,4368,580,4,4,2419,525,2000,0,0,70,72,30,0,0,4,0,0,1391,1584,3909,4179,119,27,82,76,80,68,27,19,23,15,63,0,0,11109,466,0,313,47,361,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1233,1352,96
47993,3188,377,100,29,9999,0,58,0,4368,253,4,4,2419,525,2000,0,0,69,72,40,0,107,3,0,0,1391,1584,4398,3164,122,19,63,60,44,61,19,17,14,10,62,0,0,11109,466,0,313,47,361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,681,803,96
48271,3188,377,100,29,9999,0,139,0,4368,607,4,4,2419,525,2000,0,0,69,72,40,0,107,3,0,0,1391,1584,4398,3164,122,19,63,60,44,61,19,17,14,10,62,0,0,11109,466,0,313,47,361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,542,664,96
